DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2012,43,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2013,41,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2014,62,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2015,52,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2016,53,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2017,61,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2018,54,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2019,53,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,DK,2020,51,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2008,84,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2009,70,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2010,70,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2011,65,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2012,63,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2013,52,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2014,41,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2015,50,
ESTAT:CRIM_OFF_CAT(1.0),08/06/22 11:00:00,A,ICCS0101,NR,EE,2016,33,
