DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,FR,2015,29.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,FR,2016,29.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,FR,2017,28.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,FR,2018,28.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,FR,2019,29.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,FR,2020,29.3,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2010,31.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2011,31.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2012,30.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2013,30.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2014,30.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2015,30.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2016,29.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2017,29.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2018,29.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2019,29.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HR,2020,28.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2000,26,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2001,25,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2002,24,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2005,27.6,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2006,33.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2007,25.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2008,25.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2009,24.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2010,24.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2011,26.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2012,27.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2013,28.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2014,28.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2015,28.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2016,28.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2017,28.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2018,28.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2019,28.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,HU,2020,28.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,1995,33,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,1996,33,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,1997,33,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,1998,34,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,1999,32,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2000,30,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2001,29,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2003,30.6,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IE,2004,31.5,
