DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2014,16.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2015,14.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2016,12.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2017,11.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2018,9.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2019,9.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,ES,2020,9.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2010,6.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2011,6.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2012,6.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2013,7.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2014,6.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2015,6.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2016,5.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2017,5.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2018,4.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2019,4.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,EU27_2020,2020,4.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2010,5.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2011,5.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2012,5.1,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2013,5.4,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2014,5.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2015,6.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2016,5.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2017,5.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2018,4.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2019,4.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FI,2020,5.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2010,5.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2011,5.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2012,6.2,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2013,6.6,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2014,6.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2015,6.5,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2016,6.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2017,5.9,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2018,5.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2019,5.3,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,FR,2020,5.0,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2010,6.7,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2011,7.8,
ESTAT:UNE_RT_A(1.0),14/11/21 23:00:00,A,Y15-74,PC_POP,T,HR,2012,9.1,
